dataset,beta,OR
CD006714_pub3_data,0.14038057378112,1.15071164621751
CD006742_pub3_data,0.141035196869005,1.15146517524046
CD006839_pub5_data,0.142218795162615,1.15282885432195
CD006913_pub3_data,0.146201801456766,1.15742973549162
CD006919_pub5_data,0.142324417477407,1.15295062520484
CD006942_pub4_data,0.139124474181147,1.14926714518752
CD006982_pub5_data,0.14247264590709,1.15312153793227
CD007024_pub3_data,0.143727869761924,1.15456987239603
CD007026_pub7_data,0.144814624168847,1.1558252883338
CD007079_pub4_data,0.14135199571209,1.15183001586332
CD007110_pub4_data,0.140626091771927,1.15099420131365
CD007130_pub5_data,0.141588748035234,1.15210274657899
CD007156_pub3_data,0.139354958147705,1.1495320633663
CD007310_pub3_data,0.14446734333403,1.15542396205326
CD007374_pub3_data,0.138008895064034,1.14798576163562
CD007388_pub3_data,0.14028795202786,1.15060507022304
CD007491_pub3_data,0.140838746717413,1.15123899194983
CD007569_pub4_data,0.140161237597372,1.15045928119384
CD007572_pub4_data,0.144806323224023,1.15581569393167
CD007639_pub3_data,0.138413905752733,1.14845080230642
CD007674_pub3_data,0.14199318143636,1.15256878964657
CD007693_pub3_data,0.140606258350814,1.15097137338733
CD007784_pub3_data,0.134523731419209,1.14399180722941
CD007809_pub3_data,0.138446531610309,1.14848827210997
CD007837_pub3_data,0.137641734013723,1.14756434334656
CD007859_pub5_data,0.138728179154152,1.14881178656733
CD007872_pub4_data,0.141795501959823,1.15234097296964
CD007895_pub3_data,0.141458827005331,1.15195307392662
CD007896_pub4_data,0.141604263503915,1.15212062213174
CD008063_pub3_data,0.14041540219726,1.15075172437951
CD008145_pub4_data,0.140057022379962,1.15033939207697
CD008165_pub5_data,0.140742868501198,1.15112861850013
CD008176_pub3_data,0.139657160216702,1.14987950683065
CD008237_pub4_data,0.142914455301988,1.15363111041986
CD008309_pub3_data,0.138829787165648,1.14892852097902
CD008349_pub5_data,0.146221333747506,1.15745234296652
CD008469_pub3_data,0.142732268998544,1.15342095377672
CD008493_pub5_data,0.144747950767608,1.15574822809955
CD008552_pub8_data,0.137916527387959,1.14787972975569
CD008564_pub3_data,0.14247446875589,1.1531236399004
CD008628_pub3_data,0.141238798813639,1.15169963965721
CD008688_pub3_data,0.141502987993743,1.15200394643625
CD008709_pub4_data,0.146603968567508,1.15789530927719
CD008771_pub3_data,0.1405721975755,1.15093217107763
CD008858_pub5_data,0.141601247576533,1.15211714742485
CD008873_pub5_data,0.138772390039784,1.14886257767659
CD008879_pub3_data,0.139666318626439,1.14989003794655
CD008940_pub4_data,0.139146186173189,1.14929209833752
CD008973_pub3_data,0.140739923604298,1.15112522855003
CD009022_pub4_data,0.141739933299965,1.15227694070519
CD009102_pub2_data,0.142240810519973,1.15285423454052
CD009235_pub4_data,0.149582467915674,1.16134924091423
CD009244_pub3_data,0.140042399387729,1.15032257079596
CD009252_pub2_data,0.141982183907476,1.15255611430771
CD009298_pub3_data,0.14120596308886,1.15166182338568
CD009362_pub4_data,0.140343084939434,1.15066850817938
CD009417_pub3_data,0.14085283758609,1.15125521402157
CD009508_pub2_data,0.140202994511716,1.1505073218265
CD009531_pub3_data,0.141289990815723,1.15175859897668
CD009535_pub3_data,0.139353218728296,1.14953006384966
CD009609_pub3_data,0.136156660029607,1.14586139021384
CD009679_pub3_data,0.139011186800385,1.14913695509743
CD009730_pub3_data,0.141553563240986,1.15206221079402
CD009749_pub3_data,0.139811671674484,1.15005719011622
CD009752_pub3_data,0.143583906303257,1.15440366848786
CD009788_pub3_data,0.14073700607049,1.15112187010815
CD009945_pub3_data,0.139956419321344,1.15022367023676
CD010001_pub4_data,0.140189197093627,1.15049144790548
CD010136_pub4_data,0.138816000075471,1.14891268070709
CD010145_pub2_data,0.137718347499813,1.14765226561939
CD010189_pub3_data,0.139516094684917,1.149717309907
CD010216_pub9_data,0.137871018253071,1.14782749193089
CD010290_pub4_data,0.135129103191556,1.1446845572418
CD010441_pub3_data,0.142379962736657,1.15301466792484
CD010533_pub3_data,0.139713254229272,1.14994400999527
CD010583_pub6_data,0.137292001085039,1.14716307248082
CD010779_pub2_data,0.140994524282647,1.15141834312608
CD010856_pub3_data,0.139929152345213,1.15019230754298
CD010861_pub3_data,0.146534413795769,1.15781477493406
CD010966_pub4_data,0.14242833029273,1.15307043777516
CD011039_pub2_data,0.141000879748398,1.15142566094918
CD011044_pub3_data,0.140729804413,1.15111358015257
CD011120_pub3_data,0.140494085319815,1.15084227268073
CD011197_pub3_data,0.13505225169693,1.14459658990295
CD011204_pub3_data,0.141333339154891,1.1518085268812
CD011218_pub2_data,0.140092183142036,1.15037983959772
CD011305_pub3_data,0.138328803894173,1.14835307116729
CD011330_pub2_data,0.141227416618126,1.15168653086135
CD011381_pub3_data,0.137715999059788,1.14764957043004
CD011468_pub2_data,0.141577758426212,1.15209008548982
CD011535_pub7_data,0.144867057121525,1.15588589325528
CD011575_pub3_data,0.138186841640449,1.14819005994823
CD011600_pub3_data,0.140416744213856,1.15075326870846
CD011624_pub3_data,0.137217826742341,1.14707798556962
CD011626_pub3_data,0.139507192095993,1.14970707449197
CD011627_pub3_data,0.139687053009564,1.14991388045433
CD011670_pub3_data,0.14167284705465,1.15219964136456
CD011671_pub3_data,0.138587543771484,1.14865023434236
CD011689_pub4_data,0.140192003670403,1.15049467685259
CD011762_pub2_data,0.141869757425119,1.15242654376178
CD011778_pub2_data,0.142133953368266,1.15273105040236
CD011793_pub3_data,0.142195096666575,1.15280153433563
CD011800_pub2_data,0.139872527799415,1.15012718026991
CD011806_pub2_data,0.144058475711141,1.15495164316899
CD011841_pub3_data,0.140192414950012,1.15049515002769
CD011851_pub3_data,0.141153422534678,1.15160131602481
CD011858_pub2_data,0.139076132933518,1.14921158952269
CD011866_pub3_data,0.142683524117225,1.1533647317795
CD011885_pub2_data,0.140656128939582,1.15102877443868
CD012067_pub3_data,0.136527460386777,1.14628635481024
CD012079_pub2_data,0.141459908741975,1.15195432003715
CD012170_pub2_data,0.140915792937135,1.15132769397919
CD012178_pub2_data,0.140789776716529,1.15118261715572
CD012186_pub2_data,0.141780556421785,1.1523237507425
CD012214_pub3_data,0.140745151115956,1.15113124608631
CD012268_pub2_data,0.133657916974603,1.14300175126243
CD012335_pub2_data,0.14006590209962,1.15034960681363
CD012397_pub2_data,0.14293972344914,1.1536602609088
CD012426_pub2_data,0.140771453790317,1.15116152431482
CD012429_pub2_data,0.140976209754464,1.15139725563549
CD012445_pub2_data,0.140242886299828,1.15055321853625
CD012503_pub3_data,0.141868912344309,1.15242556986863
CD012532_pub2_data,0.140742596204884,1.1511283050521
CD012570_pub2_data,0.137345240120136,1.14722414796168
CD012572_pub3_data,0.139193049555642,1.14934595931472
CD012586_pub2_data,0.141076441212749,1.15151266764535
CD012609_pub2_data,0.13836144552217,1.14839055589283
CD012623_pub2_data,0.140513786076967,1.1508649453682
CD012635_pub2_data,0.144680248450188,1.15566998391484
CD012642_pub2_data,0.136957160651605,1.14677902020211
CD012693_pub3_data,0.155021445803256,1.16768300273655
CD012712_pub2_data,0.137230686140732,1.14709273639727
CD012718_pub2_data,0.141949432646622,1.1525183672599
CD012757_pub2_data,0.138799227141656,1.14889341023235
CD012850_pub2_data,0.14028123878809,1.15059734596125
CD012886_pub3_data,0.140495790236945,1.15084423477311
CD012891_pub2_data,0.139259832327562,1.14942271838684
CD012905_pub2_data,0.139178030788217,1.14932869768469
CD012925_pub2_data,0.138705413617634,1.14878563354835
CD012942_pub2_data,0.142980515412514,1.15370732193576
CD012967_pub2_data,0.140317679680933,1.15063927551981
CD012993_pub2_data,0.140405711887644,1.15074057329303
CD012997_pub3_data,0.141699692976865,1.15223057364171
CD013023_pub2_data,0.138802019984875,1.148896618916
CD013038_pub3_data,0.142921763124978,1.15363954098261
CD013042_pub2_data,0.141923632877585,1.15248863293579
CD013051_pub3_data,0.141052869623589,1.15148552498173
CD013052_pub3_data,0.140163911699349,1.15046235764339
CD013053_pub3_data,0.140901426673977,1.15131115382137
CD013054_pub3_data,0.140923981729489,1.15133712200121
CD013055_pub3_data,0.140449948220849,1.1507914789624
CD013056_pub3_data,0.138302936071546,1.14832336615794
CD013059_pub2_data,0.141113446035498,1.15155527995593
CD013071_pub2_data,0.147688768245338,1.15915207528209
CD013078_pub2_data,0.139863957568972,1.15011732345717
CD013105_pub2_data,0.139840684147583,1.15009055660353
CD013111_pub2_data,0.142030780764958,1.15261212627393
CD013158_pub2_data,0.141095837028081,1.151535002389
CD013166_pub3_data,0.137680818608076,1.14760919630994
CD013197_pub2_data,0.145578868309387,1.15670895866482
CD013232_pub2_data,0.142334840708442,1.15296264273821
CD013255_pub2_data,0.144097560704637,1.15499678532864
CD013278_pub3_data,0.132488436291685,1.14166581412238
CD013284_pub2_data,0.13837965447536,1.14841146707309
CD013294_pub2_data,0.138606177448991,1.14867163811981
CD013295_pub2_data,0.141496437134618,1.1519963998454
CD013303_pub2_data,0.134694665834535,1.14418737151397
CD013331_pub2_data,0.140063114003371,1.15034639953268
CD013332_pub2_data,0.142360793754126,1.15299256601865
CD013342_pub2_data,0.140303564046386,1.15062303363094
CD013344_pub2_data,0.142206687542197,1.15281489639227
CD013353_pub2_data,0.139322597154285,1.14949486396867
CD013355_pub2_data,0.142557014598667,1.15321882939178
CD013358_pub2_data,0.139646363618495,1.14986709211065
CD013366_pub2_data,0.144664537490348,1.15565182737276
CD013377_pub2_data,0.141990647161116,1.15256586872372
CD013396_pub2_data,0.137124474947314,1.14697090877862
CD013408_pub2_data,0.143341056458133,1.15412335577408
CD013414_pub2_data,0.14282418074559,1.15352697158373
CD013421_pub2_data,0.141134060025492,1.15157901834962
CD013425_pub2_data,0.138042653432617,1.14802451641624
CD013429_pub2_data,0.137840459536979,1.14779241633238
CD013445_pub2_data,0.134479582941508,1.14394130284747
CD013456_pub2_data,0.137764091110618,1.14770476457871
CD013462_pub3_data,0.140794896032586,1.15118851043847
CD013468_pub2_data,0.138811326379088,1.1489073110506
CD013474_pub2_data,0.140232707565786,1.15054150742064
CD013476_pub2_data,0.139572405530821,1.14978205328413
CD013508_pub3_data,0.139113589086221,1.14925463537364
CD013539_pub2_data,0.14031743457688,1.1506389934935
CD013541_pub2_data,0.136113620608384,1.14581207406408
CD013561_pub2_data,0.139221081843484,1.14937817856307
CD013571_pub2_data,0.144650842422797,1.15563600075129
CD013590_pub2_data,0.141494588156038,1.15199426983071
CD013591_pub2_data,0.139458751985704,1.14965138390332
CD013595_pub2_data,0.141924933011803,1.15249013132667
CD013613_pub2_data,0.142010831463581,1.15258913269661
CD013614_pub2_data,0.143674134670822,1.15450783314561
CD013631_pub2_data,0.145293777068869,1.15637923807534
CD013643_pub2_data,0.138208311415958,1.14821471159569
CD013672_pub2_data,0.140247925170933,1.15055901604023
CD013707_pub2_data,0.138787022914884,1.1488793889622
CD013715_pub2_data,0.141665718551767,1.15219142793537
CD013719_pub2_data,0.139842486606396,1.15009262959626
CD013726_pub2_data,0.142688765177473,1.15337077664939
CD013729_pub2_data,0.140898677652889,1.15130798884708
CD013731_pub2_data,0.140349860515154,1.1506763046474
CD013745_pub2_data,0.141457161090349,1.15195115487233
CD013748_pub2_data,0.135785766629874,1.1454364765909
CD013757_pub3_data,0.145123006082439,1.15618177891279
CD013758_pub2_data,0.153054259543159,1.16538821065917
CD013763_pub3_data,0.138665499331119,1.14873978150451
CD013764_pub2_data,0.143247891927049,1.15401583742135
CD013773_pub2_data,0.140581494040059,1.1509428707275
CD013774_pub2_data,0.138860477558157,1.14896378258739
CD013781_pub2_data,0.138846829529474,1.14894810160374
CD013789_pub2_data,0.146619352251335,1.15791312210955
CD013800_pub2_data,0.138525873793759,1.14857939929222
CD013801_pub2_data,0.140320520142574,1.15064254387118
CD013810_pub2_data,0.139765253342757,1.15000380761904
CD013816_pub2_data,0.145309708001291,1.15639766042157
CD013821_pub2_data,0.140851503465236,1.15125367810901
CD013822_pub2_data,0.143415008221907,1.1542087083878
CD013823_pub2_data,0.139838078201854,1.15008755953387
CD013827_pub2_data,0.13826865040398,1.14828399579967
CD013830_pub2_data,0.134223834940021,1.14364877955317
CD013834_pub2_data,0.138154396766625,1.14815280767094
CD013844_pub2_data,0.137864363211131,1.14781985311621
CD013853_pub2_data,0.140914306621917,1.15132598274459
CD013874_pub3_data,0.13602661605891,1.14571238753745
CD013875_pub2_data,0.139814728678589,1.15006070585115
CD014040_pub2_data,0.141174166765399,1.15162520535599
CD014089_data,0.141236077457311,1.15169650547638
CD014145_pub2_data,0.142524783244136,1.15318166018584
CD014300_pub2_data,0.140624424939607,1.15099228280091
CD014428_pub2_data,0.139096549434552,1.14923505264181
CD014541_pub2_data,0.1364003210866,1.14614062602941
CD014544_pub2_data,0.137597983138319,1.14751413750024
CD014573_data,0.141338983481062,1.15181502808256
CD014574_pub2_data,0.142417608962211,1.15305807539216
CD014580_pub2_data,0.138009740971147,1.14798673272536
CD014585_pub2_data,0.143643103705424,1.15447200820883
CD014594_pub2_data,0.144331620649745,1.15526715545299
CD014617_pub3_data,0.140538077298912,1.15089290162356
CD014624_pub2_data,0.143147750266258,1.15390027814506
CD014666_pub2_data,0.1414404354699,1.15193188793567
CD014678_pub2_data,0.135908335489013,1.14557688003742
CD014687_pub2_data,0.140346013966084,1.15067187852304
CD014688_pub2_data,0.140942499756504,1.15135844269055
CD014713_pub2_data,0.14172638719109,1.15226133194201
CD014722_pub2_data,0.148346662726836,1.15991492594574
CD014736_pub2_data,0.138514248265239,1.14856604652727
CD014741_pub2_data,0.142365849688034,1.1529983954876
CD014758_pub3_data,0.141663396023906,1.15218875194179
CD014762_pub2_data,0.13668334126047,1.14646505285617
CD014763_pub2_data,0.13877425105668,1.14886471573125
CD014769_pub2_data,0.152244531298797,1.16444494485538
CD014785_pub2_data,0.139870224277733,1.15012453093006
CD014792_pub2_data,0.138285484366517,1.14830332613214
CD014803_pub2_data,0.142638551736121,1.15331286338756
CD014811_pub2_data,0.140409753787466,1.15074522448055
CD014820_pub2_data,0.140793446223713,1.15118684143636
CD014833_pub2_data,0.141144751764447,1.15159133079769
CD014844_pub2_data,0.14165739717799,1.15218184015973
CD014845_pub2_data,0.133034494567861,1.14228940043055
CD014852_pub2_data,0.149870130278357,1.16168336543599
CD014855_pub2_data,0.138527523000349,1.14858129353849
CD014861_pub2_data,0.138419603040061,1.14845734537927
CD014869_pub2_data,0.139174315617181,1.14932442773993
CD014871_pub2_data,0.139377164411091,1.1495575904615
CD014872_pub2_data,0.135827969548587,1.14548481837349
CD014889_pub2_data,0.140229922900921,1.15053830355259
CD014914_pub2_data,0.138955550030175,1.14907302260724
CD014923_pub2_data,0.138240208564158,1.14825133695463
CD014932_pub2_data,0.138762244354223,1.14885092173725
CD014935_pub2_data,0.140796329887617,1.15119016107709
CD014937_pub2_data,0.140223705064494,1.15053114971586
CD014941_pub2_data,0.140806981743021,1.15120242345353
CD014944_pub2_data,0.141346703963924,1.15182392068508
CD014959_pub2_data,0.142505484193296,1.15315940508911
CD014960_pub2_data,0.141690700153827,1.15222021188265
CD014964_pub2_data,0.143817189304599,1.15467300265472
CD014965_pub2_data,0.145862920318808,1.15703757083811
CD014966_pub2_data,0.140024030477067,1.15030144081749
CD014967_pub2_data,0.141815205215191,1.15236367806178
CD014999_pub2_data,0.13907098135521,1.14920566928444
CD015003_pub2_data,0.139376961768947,1.14955735751271
CD015014_pub2_data,0.149009480703978,1.16068399325827
CD015033_pub2_data,0.144471164866748,1.15542837755217
CD015038_pub2_data,0.145989435956378,1.15718396344436
CD015040_pub2_data,0.138919413773237,1.14903150015949
CD015042_pub2_data,0.141434020359179,1.15192449818877
CD015046_pub2_data,0.141277953370456,1.15174473482903
CD015060_pub2_data,0.143208775569729,1.15397069740836
CD015064_pub2_data,0.14088057975629,1.15128715278269
CD015066_pub2_data,0.140727737948882,1.15111120142012
CD015083_pub2_data,0.141257759333346,1.15172147668795
CD015084_pub2_data,0.140077043683008,1.1503624236011
CD015087_pub2_data,0.145490026304862,1.15660619888704
CD015101_data,0.140740080500153,1.15112540915682
CD015120_pub2_data,0.141142115741874,1.15158829518095
CD015122_pub2_data,0.138063851373443,1.14804885242994
CD015123_pub2_data,0.143004367131469,1.15373484016674
CD015124_pub2_data,0.141258787414311,1.15172266075148
CD015134_pub2_data,0.139900722515447,1.1501596082363
CD015140_pub2_data,0.139159298751638,1.14930716861913
CD015145_pub2_data,0.14296065428279,1.15368440823252
CD015158_pub2_data,0.139717086711685,1.14994841714391
CD015160_pub2_data,0.139161206750647,1.14930936149816
CD015192_pub2_data,0.141751843561053,1.15229066470612
CD015213_pub2_data,0.141288328366885,1.15175668423852
CD015215_pub2_data,0.139166025457701,1.14931489969663
CD015219_pub2_data,0.145825255510658,1.15699399206068
CD015229_pub2_data,0.139612049682486,1.14982763632178
CD015252_pub2_data,0.138806161557737,1.14890137716491
CD015254_pub2_data,0.142045127140692,1.15262866219919
CD015255_pub2_data,0.137087552943964,1.14692856109667
CD015284_pub2_data,0.134553648928768,1.14402603312721
CD015314_pub2_data,0.141252701692542,1.15171565170914
CD015326_pub2_data,0.148261332021034,1.15981595380918
CD015328_pub2_data,0.14046579065862,1.15080971044921
CD015330_pub2_data,0.140790559246887,1.15118351799142
CD015331_pub2_data,0.131637765686828,1.14069504553443
CD015332_pub2_data,0.134401790364429,1.14385231616679
CD015350_pub2_data,0.135968359581168,1.14564564431338
CD015373_pub2_data,0.144862486814653,1.15588061051411
CD015383_pub2_data,0.140881671161391,1.15128840930404
CD015387_pub2_data,0.143703927503373,1.15454222971654
CD015395_pub3_data,0.140791334925068,1.15118441093971
CD015432_pub2_data,0.14098643131906,1.15140902477706
CD015443_pub2_data,0.136532193803364,1.14629178067393
CD015448_pub2_data,0.138437965085507,1.14847843359885
CD015462_pub2_data,0.141938821904781,1.15250613824992
CD015476_pub2_data,0.140797279789971,1.15119125459585
CD015495_data,0.139745682391317,1.1499813011706
CD015514_pub2_data,0.140188191510054,1.15049029099076
CD015517_data,0.139444622042497,1.14963513950933
CD015518_data,0.139418650941393,1.1496052826066
CD015519_pub2_data,0.141284734472947,1.1517525449546
CD015520_data,0.140495087418406,1.15084342593873
CD015524_pub2_data,0.134690452612345,1.14418255080851
CD015530_pub2_data,0.140390426733327,1.15072298418022
CD015532_data,0.141729215241211,1.15226459059942
CD015536_pub2_data,0.142818875059466,1.15352085134792
CD015551_pub2_data,0.141659187909248,1.15218390340961
CD015573_data,0.140594996251751,1.1509584111067
CD015584_pub2_data,0.141607274427716,1.15212409108437
CD015588_pub2_data,0.139968574790484,1.15023765183006
CD015592_pub3_data,0.139248213108772,1.14940936307038
CD015636_pub2_data,0.142444022315273,1.15308853192443
CD015673_pub2_data,0.140621017414106,1.15098836077204
CD015698_pub2_data,0.142998751182294,1.15372836086871
CD015701_pub2_data,0.138804218514931,1.14889914480253
CD015711_pub2_data,0.141777490877864,1.15232021824884
CD015721_pub2_data,0.141186650554,1.15163958209134
CD015746_pub2_data,0.141599821622795,1.15211550456027
CD015749_pub2_data,0.142754831297315,1.15344697789847
CD015751_pub2_data,0.139404117194309,1.14958857465559
CD015779_data,0.144984181308711,1.15602128337958
CD015786_pub2_data,0.13750920216105,1.14741226459594
CD015788_pub2_data,0.140664213141333,1.15103807962513
CD015790_pub2_data,0.139520514865972,1.1497223918769
CD015802_pub2_data,0.141735159332614,1.15227143978582
CD015804_pub2_data,0.140799754563262,1.15119410353674
CD015820_pub2_data,0.143743816840409,1.15458828455921
CD015824_pub2_data,0.143383059341746,1.15417183330116
CD015830_pub2_data,0.138383295641623,1.14841564863779
CD015849_pub2_data,0.144021323435629,1.15490873488442
CD015854_data,0.143344971792905,1.15412787456223
CD015855_data,0.140732131289548,1.15111625865488
CD015875_data,0.134038224338354,1.14343652591397
CD015877_data,0.140607212384572,1.1509724714534
CD015894_pub2_data,0.139734008634856,1.14996787664732
CD015932_pub2_data,0.142742268748479,1.1534324877555
CD015968_data,0.138646911053222,1.14871842860868
CD016001_data,0.142343794148061,1.15297296576583
CD016002_data,0.137692909709998,1.14762307225359
CD016031_data,0.139705624538586,1.14993523631163
CD016058_pub2_data,0.14300659327731,1.15373740855161
CD016064_data,0.141842414282729,1.1523950332295
CD016119_data,0.13717403010035,1.14702774850587
CD016120_data,0.141819209088666,1.15236829198939
CD016131_data,0.137310591687304,1.14718439913147
CD016136_data,0.140163169717947,1.15046150402203
CD016147_data,0.140165625813225,1.15046432966857
CD016148_data,0.143189798619456,1.15394879877161
CD016168_data,0.138663092778865,1.14873701700552
CD016211_data,0.150715566794894,1.1626659102549
CD016278_data,0.141466198996126,1.15196156614538
