scenario,scenario_kind,method,n,applicable_n,applicability,convergence,bias,abs_bias,rmse,coverage,ci_width,type1_error,power
HET_HIGH,none,PETPEESE,300,300,1,1,-0.0438776236478029,0.246987090809585,0.309635500081673,0.953333333333333,1.42298326275906,,0.176666666666667
HET_HIGH,none,TRIMFILL,300,300,1,1,0.00263694251527643,0.120423339098558,0.153646912181706,0.926666666666667,0.540576581447,,0.583333333333333
HET_HIGH,none,SWA,300,300,1,1,-0.0372470235459898,0.119235273146343,0.153200708527518,0.91,0.565047846091076,,0.503333333333333
HET_HIGH,none,TAS,300,300,1,1,0.000965356755356894,0.104364832759612,0.13006158647484,0.96,0.570341745291425,,0.55
HET_HIGH,none,PBM,300,300,1,1,-0.00439912991294895,0.101605685105804,0.131662663040899,0.986666666666667,0.668610182716854,,0.413333333333333
HET_EXTREME,none,REML,300,300,1,1,0.00250481012392076,0.126791761323271,0.16326261008838,0.94,0.631490388507926,,0.473333333333333
HET_EXTREME,none,HKSJ,300,300,1,1,0.00250481012392076,0.126791761323271,0.16326261008838,0.956666666666667,0.665826523624678,,0.42
HET_EXTREME,none,PETPEESE,300,300,1,1,-0.0403624911876771,0.286536760077772,0.348534635709584,0.953333333333333,1.68675217674043,,0.13
HET_EXTREME,none,TRIMFILL,300,300,1,1,-0.00215045535773978,0.150300236022052,0.191488864041997,0.903333333333333,0.641207475932984,,0.456666666666667
HET_EXTREME,none,SWA,300,300,1,1,-0.0351749497573556,0.142365968796593,0.18151975258823,0.93,0.703778502511966,,0.356666666666667
HET_EXTREME,none,TAS,300,300,1,1,0.00250481012392078,0.126791761323271,0.16326261008838,0.956666666666667,0.666510919791193,,0.42
HET_EXTREME,none,PBM,300,300,1,1,-0.00523648078600356,0.129286519017212,0.163117632501254,0.98,0.778414549039356,,0.316666666666667
OUTLIER_SINGLE,outlier,REML,300,300,1,1,0.0789460787791649,0.0930737661121788,0.114541892931232,0.943333333333333,0.449192346651731,,0.97
OUTLIER_SINGLE,outlier,HKSJ,300,300,1,1,0.0789460787791649,0.0930737661121788,0.114541892931232,0.956666666666667,0.485785386646666,,0.946666666666667
OUTLIER_SINGLE,outlier,PETPEESE,300,300,1,1,-0.00256531967068343,0.20714274178262,0.250105934224323,0.956666666666667,1.18456941532681,,0.27
OUTLIER_SINGLE,outlier,TRIMFILL,300,300,1,1,0.131380963791891,0.147531220983687,0.17900952216167,0.763333333333333,0.452022106219513,,0.963333333333333
OUTLIER_SINGLE,outlier,SWA,300,300,1,1,0.0242987480636952,0.0737253255045431,0.0922421303244546,0.94,0.41189457257907,,0.89
OUTLIER_SINGLE,outlier,TAS,300,300,1,1,0.0789460787791649,0.0930737661121788,0.114541892931232,0.96,0.481497674871652,,0.95
OUTLIER_SINGLE,outlier,PBM,300,300,1,1,0.0748130146961458,0.0926538738283899,0.114119654929918,0.983333333333333,0.560246968445863,,0.843333333333333
OUTLIER_MULTI,outlier,REML,300,300,1,1,0.138983260172658,0.140513108574961,0.157233720905577,0.823333333333333,0.411301496398037,,0.996666666666667
OUTLIER_MULTI,outlier,HKSJ,300,300,1,1,0.138983260172658,0.140513108574961,0.157233720905577,0.843333333333333,0.4376841882497,,0.996666666666667
OUTLIER_MULTI,outlier,PETPEESE,300,300,1,1,0.0400063943253704,0.187951165482469,0.231075009670582,0.923333333333333,1.03607480971289,,0.336666666666667
OUTLIER_MULTI,outlier,TRIMFILL,300,300,1,1,0.180279407910204,0.182131420444586,0.205623794845029,0.62,0.415715442390754,,1
OUTLIER_MULTI,outlier,SWA,300,300,1,1,0.0619973873496226,0.0831525944140187,0.103702356278992,0.906666666666667,0.388175111465591,,0.956666666666667
OUTLIER_MULTI,outlier,TAS,300,300,1,1,0.138983260172658,0.140513108574961,0.157233720905577,0.843333333333333,0.434111023167708,,0.996666666666667
OUTLIER_MULTI,outlier,PBM,300,300,1,1,0.129174184581259,0.132223358716354,0.14965317445018,0.93,0.520667465751052,,0.953333333333333
PB_STEP_MILD,step,REML,300,300,1,1,0.067674689388382,0.0927070407419763,0.111276106902523,0.856666666666667,0.346866221699787,,0.97
PB_STEP_MILD,step,HKSJ,300,300,1,1,0.067674689388382,0.0927070407419763,0.111276106902523,0.883333333333333,0.381798788405483,,0.953333333333333
PB_STEP_MILD,step,PETPEESE,300,300,1,1,-0.013303648006938,0.169878151673693,0.215218096434324,0.923333333333333,0.891339217125929,,0.346666666666667
PB_STEP_MILD,step,TRIMFILL,300,300,1,1,0.044799443325121,0.0933805387296528,0.118589350602234,0.853333333333333,0.355797095583025,,0.91
PB_STEP_MILD,step,SWA,300,300,1,1,0.0174451342331043,0.0689960692191088,0.0871061936388501,0.916666666666667,0.337551209492624,,0.91
PB_STEP_MILD,step,TAS,300,300,1,1,0.067674689388382,0.0927070407419763,0.111276106902523,0.883333333333333,0.376383949015511,,0.95
PB_STEP_MILD,step,PBM,300,300,1,1,0.0537903745488017,0.0856334644213576,0.104019430468415,0.946666666666667,0.442476577312167,,0.876666666666667
PB_STEP_MOD,step,REML,300,300,1,1,0.127217731712099,0.144066987313929,0.171550321359589,0.696666666666667,0.416173536397429,,0.936666666666667
PB_STEP_MOD,step,HKSJ,300,300,1,1,0.127217731712099,0.144066987313929,0.171550321359589,0.74,0.470194585398502,,0.9
PB_STEP_MOD,step,PETPEESE,300,300,1,1,0.0433539343442865,0.223261699158844,0.271000987074857,0.863333333333333,1.1386449373322,,0.35
PB_STEP_MOD,step,TRIMFILL,300,300,1,1,0.0981644288723779,0.133613924443428,0.162468291783711,0.746666666666667,0.424354800411396,,0.883333333333333
PB_STEP_MOD,step,SWA,300,284,0.946666666666667,1,0.074774073867924,0.102199086363368,0.126081392472055,0.841549295774648,0.405761082813713,,0.897887323943662
