dataset,measure,k,method,estimate,se,abs_shift_vs_reml
CD001533_pub7_data,OR,80,CRT,-0.331057453740994,0.0770118391347447,0
CD001533_pub7_data,OR,80,AWH,-0.319262677589526,0.075522850079833,0.0117947761514688
CD001533_pub7_data,OR,80,MRSTACK,-0.261145904236503,0.202326365775518,0.0699115495044916
CD001533_pub7_data,OR,80,SAFE,-0.329536739860057,0.0735808503330497,0.00152071388093727
CD001533_pub7_data,OR,80,CPC,-0.281926033575904,0.593253347966465,0.0491314201650908
CD001533_pub7_data,OR,80,DTM,-0.32773354923299,0.079018928053911,0.00332390450800402
CD001533_pub7_data,OR,80,BSC,-0.331057453999644,0.075522850079833,2.58649823781099e-10
CD001533_pub7_data,OR,80,HGAM,0.0609508402389224,0.298391774777742,0.392008293979917
CD001533_pub7_data,OR,80,MTLE,-0.298029422696288,0.155758536553915,0.033028031044706
CD001533_pub7_data,OR,80,PBM,-0.302396883192237,0.104355183090045,0.0286605705487576
CD001533_pub7_data,OR,80,FATIHA,-0.327077922067007,0.0691662369741274,0.00397953167398707
CD001552_pub3_data,OR,78,REML,0.0916887476167735,0.196195075165171,0
CD001552_pub3_data,OR,78,HKSJ,0.0916887476167735,0.173076687442467,0
CD001552_pub3_data,OR,78,QSE,0.0916887476167735,0.183552854448622,1.38777878078145e-17
CD001552_pub3_data,OR,78,LTH,0.11865030469507,0.176310356910332,0.0269615570782963
CD001552_pub3_data,OR,78,RMR,0.135015407736455,0.199648209967048,0.0433266601196814
CD001552_pub3_data,OR,78,CRT,0.278125639785753,0.142897359293337,0.18643689216898
CD001552_pub3_data,OR,78,AWH,0.0925932964287336,0.196195075657486,0.000904548811960074
CD001552_pub3_data,OR,78,MRSTACK,0.127714599120704,0.226906993507763,0.0360258515039306
CD001552_pub3_data,OR,78,SAFE,0.103713198362753,0.183144644509196,0.012024450745979
CD001552_pub3_data,OR,78,CPC,0.31476192515235,0.993684275060982,0.223073177535577
CD001552_pub3_data,OR,78,DTM,0.101855935268495,0.201906118702712,0.0101671876517211
CD001552_pub3_data,OR,78,BSC,0.0916887475151177,0.196195075657486,1.01655822648539e-10
CD001552_pub3_data,OR,78,HGAM,0.899988331889043,0.482597483414108,0.80829958427227
CD001552_pub3_data,OR,78,MTLE,0.0697719201580341,0.322439304219107,0.0219168274587394
CD001552_pub3_data,OR,78,PBM,0.220641479167301,0.351408056518937,0.128952731550527
CD001552_pub3_data,OR,78,FATIHA,0.103711089391324,0.183308049487869,0.01202234177455
CD001703_pub4_data,OR,80,REML,0.514936939266757,0.0796785258546358,0
CD001703_pub4_data,OR,80,HKSJ,0.514936939266757,0.0697539616916181,0
CD001703_pub4_data,OR,80,QSE,0.514936939266757,0.0742231561652364,0
CD001703_pub4_data,OR,80,LTH,0.514936949044133,0.0796785303806992,9.7773755758368e-09
CD001703_pub4_data,OR,80,RMR,0.498851769005171,0.080781848838576,0.0160851702615863
CD001703_pub4_data,OR,80,CRT,0.492153716090901,0.0665789630608757,0.0227832231758559
CD001703_pub4_data,OR,80,AWH,0.521965531682675,0.0796785303806992,0.00702859241591847
CD001703_pub4_data,OR,80,MRSTACK,0.527167986031975,0.0816936514824632,0.0122310467652177
CD001703_pub4_data,OR,80,SAFE,0.514936942204945,0.0759039404065895,2.9381882482582e-09
CD001703_pub4_data,OR,80,CPC,0.514936939266757,0.519670998520999,0
CD001703_pub4_data,OR,80,DTM,0.514936960043677,0.0796785354725194,2.07769196292062e-08
CD001703_pub4_data,OR,80,BSC,0.514936939266757,0.0796785303806992,0
CD001703_pub4_data,OR,80,HGAM,0.398534517381377,0.109324740275731,0.11640242188538
CD001703_pub4_data,OR,80,MTLE,0.537467438598947,0.185398140246958,0.0225304993321899
CD001703_pub4_data,OR,80,PBM,0.492269034767431,0.0810035762423513,0.0226679044993262
CD001703_pub4_data,OR,80,FATIHA,0.514933894912189,0.0827491308777677,3.04435456788266e-06
CD001797_pub4_data,OR,44,REML,0.540768545390728,0.198216750881129,0
CD001797_pub4_data,OR,44,HKSJ,0.540768545390728,0.140100343763272,0
CD001797_pub4_data,OR,44,QSE,0.540768545390728,0.16179705146427,0
